"Arawak","Achagua (mm98) Phono","Meléndez Lozano, Miguel Ángel. 1998a. La lengua achagua, estudio gramatical. Lenguas Aborígenes de Colombia, Descripciones, 11. Santafé de Bogotá: CCELA, UNIANDES. AP",,"matʃajnadejliə",,,"palatuna",,,,,,,,,,,,,"á:kua",,"dumáʃi",,,,,,,,,,,,,,,,,,,,,"ká:na","á:liri, á:liʒi","ké:niru"," ",,,,,,,,,,,,,,,,,"kalíʃta",,"tʃé:ma (dp91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Achagua (mm98) Ortho","Person entering data: AP",,"matʃajnadejliə",,,"palatuna",,,,,,,,,,,,,"á:kua",,"dumáʃi",,,,,,,,,,,,,,,,,,,,,"ká:na","á:liri, áaliʒi","ké:niru"," ",,,,,,,,,,,,,,,,,"kalíʃta",,"tʃé:ma (dp91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Aɾawak","Piapoco (dk95) Phono","Klumpp, Deloris Pharris de. 1995. Vocabulario piapoco-español. Bogotá: ILV.",,"máini","sitùa","piɾitsa",,"palátuna",,,"kumàtʃi",,"wewèli kabalèːɾi","idèwi",,,"bèsuè","ú:luí",,,,"sá:wali",,"wewéli,  wewèli quíːɾeːɾi","kuláli",,"kúna",,,"ká(a)pi (hr01)",,,"punàma","kumàli",,,,"manakái",,,,,"kanái","káini  (dp91)","kapìeli",,,,,"mapàja",,"pipìɾi 'palm de chonta'",,"màwiɾu","kalìɾi",,,,"á:si  (dp91)",,,,"*kalí[ɾi] (dp91)",,"tʃéma  (dp91)",,,,,,,"atakuí",,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Piapoco (dk95) Ortho","Person entering data: AP",,"máini","sitùa","piritsa",,"palátuna",,,"cumàchi",,"wewèli cabalèːɾi (wewèli ' cedro macho', cabalèːɾi ' white'","idèwi",,,"bèsuè","úuluí",,,,"sáawali",,"wewéli,  wewèli kíːɾeːɾi (wewèli 'cedro macho', kíːɾeːɾi ' red')","culáli",,"cúna",,,"ká(a)pi (hr01)",,,"punàma","cumàli",,,,"manacái",,,,,"canái","káini  (dp91)","capìeli",,,,,"mapàya",,"pipìri 'palm de chonta'",,"màwiru","calìri",,,,"áasi  (dp91)",,,,"*kalí[ri] (dp91)",,"tʃéma  (dp91)",,,,,,,"atacuí",,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Yucuna (sy05) Phono","Schauer, Junia, compiler, and others. 2005. Meke kemakánaka puráka7aloji: wapura7akó chu, eyá karíwana chu (Diccionario bilingüe: Yukuna - Español; Español - Yukuna). 1st ed. Bogotá: Editorial Fundación para el Desarollo de los Pueblos Marginados. 328 p","pʰi'ɾi","mapa","ihihila","piɾiˈhe","paɾu","paɾu wani (plantain+true)",,,"ipatuku, hipa, tuku","kaha'pʰi, kula, lapakaku, watʃa'ɾu, hahu, huh'ɾe","maɲaʔa'ɾu","itewí",,"maʔaweˈɾe","kana","hilu","akaʔa'ɾu ??(árbol silvestre y cultivado)",,"ipaˈtu","haɾaha, saɾaha, pilumitʃi",,,"haʔaˈpa",,"kuna, kunaʔaˈpi, pupeʔehˈɾi","kala'muɾaʔapa(ɾu) 'maluco'; lana 'genipapa, jagua'",,"kapi",,,,,"kumaˈɾipeʔetʃi, kuʔuˈme, tuˈpʰi",,,"malakala",,,,"hiɾiˈmo",,"kaʔaˈtʃi,  kahiɾu","paˈɾi",,,,"kaɾu","maˈmau",,"pipiˈɾi",,"mawiɾu",,,,,"aʔahí  (dp91)",,,,,,"*jamá  (dp91), litʃi",,,,"hiˈɾi",,"kahˈmu",,"ɲaʔaˈku",,,,,,,"hetʃi",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Yucuna (sy05) Ortho","Person entering data: AP","phirí","mapa","ijijila","piriyé","paru","paru wani",,,"ipatuku, jipa, tuku","kajáphi, kula, lapakaku, wacharú, jaju, jujré","maña'arú","itewí",,"ma'aweré","kana","jilu","aka'arú",,"ipatú","jaɾaya, saɾaya, pilumichi",,,"ja'apá",,"kuna 'barbasco cultivado', kuna'apí 'barbasco silvestre', pupe'ejrí 'barbasco cultivado'",,,"kapi",,,,,"kumarípe'echi, ku'umé (en el estado pequeño), tuphí (Astrocaryum vulgare)",,,"malakala",,,,"jirimó","kaxné (h)","ka'achí (planta y palo), kajiru (tubérculo)","parí",,,,"karu","mamáu",,"pipirí",,"mawiru",,,,,,,,,,,"lichi",,,,"jirí",,"kajmú",,"ña'akú",,,,,,,"jechi",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Tariana (aa01) Phono","Aikhenvald, Alexandra Y. 2001. Dicionário Tariana-Português e Português-Tariana. Boletim do MPEG 17/1. Belém.","pi'ɾina, pi'ɾida, piɾimapʰána","maini","sído","piɾíja","déɾi, deːɾi",,"kumáda",,," kúida, wasé-na","mu'lina","tewída"," wépiɾi",,"sido, sidu, sidua",,"hídu","dáːpi","hipatu","pʰiɾimitʃí",,"dapaɾa'tuna",,,"kesí-na",,"puljiapalína 'angico-do-cerrado', wiɾitána 'anigco-vermelho'",,,,,"kumáli, kumaɾi, kamaɾípi, nupá-pi",,,,"manaká, puɾama",,,,"líma","kána","káini  (dp91)","kiníki","asálena",,,"punepina",,"jarukánapi","pípiɾi, púpeɾi",,"mawína",,,"tuina",,"aasi  (dp91), ãsi (aa01)",,,,"kalí[ri] (dp91), ãwhi, awhída, hãwhi 'batata-doce, mandioca', húne 'batata-doce, batata-inglesa', máː ",,"jeéma (dp91), jéma (aa01)",,,,,,,,"hawája",,"púpeɾi",,,,,"jeká-na",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Tariana (aa01) Ortho","Person entering data: AP","pi'ɾina, pi'ɾida, piɾimaphána","maini","sído","piɾíya","déɾi, deːɾi",,"kumáda",,," kúida, wasé-na","mu'lina","tewída"," wépiɾi",,"sido, sidu, sidua",,"hídu","dáːpi","hipatu 'epadú'","phiɾimičí",,"dapaɾa'tuna",,,"kesí-na",,"pulyiapalína 'angico-do-cerrado', wiɾitána 'anigco-vermelho'",,,,,"kumáli, kumaɾi, kamaɾípi, nupá-pi",,,,"manaká, puɾama",,,,"líma","kána","káini  (dp91)","kiníki","asálena",,,"punepina",,"yarukánapi","pípiɾi, púpeɾi",,"mawína",,,"tuina",,"aasi  (dp91), ãsi (aa01)",,,,"kalí[ri] (dp91), ãwhi, awhída, hãwhi 'batata-doce, mandioca', húne 'batata-doce, batata-inglesa', máː ",,"yeéma (dp91), yéma (aa01)",,,,,,,,"hawáya",,"púpeɾi",,,,,"yeká-na",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Baniwa-Curripaco (hr01a) Phono","Ramirez, Henri. 2001a. Dicionário Baniwa-Português. Manaus: Editora da Universidade do Amazonas."," pʰiɾimáːpa","máini",,"piiɹídza","paɺána",,"komána","eet̪ípa",,,," 'iːtewi"," 'hiːwa","kákawa","máapa",,"a'kajo","dápi","hiipáto","t̪áawa-ɹi","kakáidaɺi",,"mawakóɺia",,"kóona (there are others)"," 'daːna",,"káapi","dzáapoɻa","piɻimítsi","ponáma",,,,"táawhi","manákhe, poɻámo","jáwaɺi",,"áaʃi","iɻímawa","káana","káini","kapíwaɺi",,"iɻaɺída, keeɻípa",,"t̪íɲa",,"éeɲa, poópa","píipiɻi",,"máawiɻo","adaɻhiwída, hónai","káwa","oníwaani",,"áat̪i, mítsa",,,"komákhe","kaɺíɻi",,"dzéema",,"kóonoɺi",,"híiniɻi",,"kamhéɻo","toɻówaɺi, maɺána, kodówhi",,,"póopeɻi",,,"káama",,"dzéeka",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Baniwa-Curripaco (hr01a) Ortho","Person entering data: AP","phiɾimáapa","máini",,"piirídza","palána",,"komána","eettípa",,,," íitewi"," híiwa","kákawa","máapa",,"akáyo","dápi","hiipáto","tttáawaali","kakáidali",,"mawakólia",,"kóona (there are others)"," dáana",,"káapi","dzáapora","pirimítsi","ponáma",,,,"táawhi","manákhe, porámo","yáwali",,"áaxi","irímawa","káana","káini","kapíwali",,"iralída, keerípa",,"ttíña",,"éeña, poópa","píipiri",,"máawiro","adarhiwída, hónai","káwa","oníwaani",,"áatti, mítsa",,,"komákhe","kalíri",,"dzéema",,"kóonoli",,"híiniri",,"kamhéro","torówali, malána, kodówhi",,,"póoperi",,,"káama",,"dzéeka",,,,,,,,,,,,,,,,,,,"
",,
"Aɾawak","Resígaɾo (ta79) Phono","Allin, Trevor R .1979. Vocabulario resígaro.  Documento de Trabajo, 16.","pʰiigí","maání",,,"ʃakooʔgíʔó",,,,,,,"iteeviʔé",,,"iítsʰímú",,"áɲaahíʔé","epíipí","híibíʔé","tsʰomaátsʰí",,,,,"konáapi",,,"hutoobaʔʒóʔ",,,,,"komaágiʔé",,,"dʲuííʃikó",,,,,"veékáʔó","kaání","kádʒíigí",,,,"kaádó",,"haádʒabú, poʔpoótaʔé","pipíigí",,"améetsʰaú, nanáanaʔó",,"kavaʔé",,,,,,,"kamiídeú",,"niítsíʔó",,,,,,,,"enóogí, píʔʒaʔé","taʔakábú",,"vaánamú",,,,"evitsóogíʔé, konóogí 'ɾubbeɾ' ",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Resígaro (ta79) Ortho","Person entering data: AP","phiigí","maání",,,"šakoo?gí?ó",,,,,,,"iteevi?é",,,"iítshímú",,"áñaahí?é","epíipí","híibí?é","tshomaátshí",,,,,"konáapi",,,"hutooba?žó?",,,,,"komaági?é",,,"dyuííšikó",,,,,"veéká?ó","kaání","káǰíigí",,,,"kaádó",,"haáǰabú, po?poóta?é","pipíigí",,"améetshaú, nanáana?ó",,"kava?é",,,,,,,"kamiídeú",,"niítsí?ó",,,,,,,,"enóogí, pí?ža?é","ta?akábú",,"vaánamú",,,,"evitsóogí?é, konóogí 'rubber' ",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Kabiyari (hr01) Phono","Ramirez, Henri. 2001. Línguas Arawak da Amazônia setentrional: comparação e descrição. Manaus: Editora da Universidade"," 'pʰiɾi",,,"píɾitʃa","néɾipana",,"kumana","wéeɾi",,,,,,,,"íinu",,"pepí","pátú","t̪awá-ɾí",,,"apáɾi",,"jáame","náana",,"káapi (hɾ01)",,"wéjiti",,,,,,,,"jáku","jáku",,"kanha (h)","káaji (h)",,,,,,,,,,"máwiɾu",,,,,"át̪i",,,,"káɾiɾi",,"tʃéema",,"jéetʃa",,"jíɾí",,,,"wiiɾúá",," ",,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Kabiyari (hr01) Ortho","Person entering data: AP"," 'pʰiri",,,"píritʃa","néripana",,"kumana","wéeri",,,,,,,,"íinu",,"pepí","pátú","t̪awá-rí",,,"apári",,"jáame","náana",,"káapi (hr01)",,"wéjiti",,,,,,,,"jáku","jáku",,"kanha (h)","káaji (h)",,,,,,,,,,"máwiru",,,,,"át̪i",,,,"káriri",,"tʃéema",,"jéetʃa",,"jírí",,,,"wiirúá",," ",,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Warekena (aa98) Phono","Aikhenvald, Alexandra 1998. Warekena. En: Desmond Derbishire & Geoffrey Pullum (eds.), Handbook of Amazonian Languages, vol. 4: 225-439. Berlín: Mouton de Gruyter.","kerawiwe",,,"pilída",,,,,,,,,,,"kujatʃiru",,,"a:ta",,"kawáli",,,,,,,,"kábi (hr01)",,,,"wi:ʃi",,,,,,,,,,"a:ʃi","makasera",,,,"kaɺana",,,"wepi",,"mawiɺu",,,,,,,,,"e:ɺu",,,,,,,,,,,,,,,,,"siringa (loan) ",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Warekena (aa98) Ortho","Person entering data: AP","kerawiwe",,,"pilída",,,,,,,,,,,"kuyatʃiru",,,"a:ta",,"kawáli",,,,,,,,"kábi (hr01)",,,,"wi:ʃi",,,,,,,,,,"a:ʃi","makasera",,,,"kaɺana",,,"wepi",,"mawiɺu",,,,,,,,,"e:ɺu",,,,,,,,,,,,,,,,,"siringa (loan) ",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Yavitero (jm87) Phono","Mosonyi, Jorge Carlos, 1987 El idioma Yavitero, Caracas, Venezuela, 241 pages. ",,,,,,"ha'ľatana","ku'mana",,"ku'asi 'gourd'",,,"téwi",,"kakáu","min'deľe",,,,,,"balatá (loan)",,,,"kúja, unáha",,,,,"amíti",,"kumári",,,,,,,,"limúni (loan)","kana","kaľ̥esi",,,,,,,"kúha",,,,"batáta, élu",,,,"atsítsi  (dp91)",,"u'wijama",,"e[lu] (dp91), eľu; ba'tata",,"jema  (dp91)",,,,,,,"bilína",,,,,,,,"gúma",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Yavitero (jm87) Ortho","Person entering data: AP",,,,,,"ha'ľatana","ku'mana",,"ku'asi 'gourd'",,,"téwi",,"kakáu","min'deľe",,,,,,"balatá (loan)",,,,"kúya, unája",,,,,"amíti",,"kumári",,,,,,,,"limúni (loan)","kana","kaľ̥esi",,,,,,,"kúja",,,,"batáta, élu",,,,"atsítsi  (dp91)",,"u'wiyama",,"e[lu] (dp91), eľu; ba'tata",,"jema  (dp91)",,,,,,,"bilína",,,,,,,,"gúma",,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Bare (aa95) Phono","Aikhenvald, Alexandra. 1995a. Baré. Munich: LINCOM Europa.",,,,,,,,,,,,,,,"kana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"kaníti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Bare (aa95) Ortho","Person entering data: AP",,,,,,,,,,,,,,,"kana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"kaníti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Paresi (ab08) Phono","Brandao, Ana Paula","aˈhitɛ",,"koˈreta 'taquara'",,,"kabana","kumata","tjama","maˈtoko",,"??","itsoje"," ˈkani",,"kana"," muˈlaðu"," muˈlaðu"," inihihi",," kunu",,,,,"ikjuna","ðana",,,,,,,,," ˈkutʃi","ðolomaedja",," ˈhaka kaholere"," ˈhaka jumere",,"koðetu","kete","mãdjiuka",,"katʃibe","otoho","kaˈlana",,"kaˈʃiha","ðaˈlajtse","kuˈlike","wenure"," ˈkaje",,"ˈtawlidi",,,,"abuala",,,," aˈʃiji",,,,,,,,"ðuˈlidji","alohe","waðureke",,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Paresi (ab08) Ortho","Person entering data: AP","aˈhite",,"koˈreta 'taqoara'",,,"kabana","komata","tyama","maˈtoko",,"??","itsoye"," ˈkani",,"kana"," moˈlazo"," moˈlazo"," inihihi",," kono",,,,,"ikona","zana",,,,,,,,," ˈkotxi","zolomaera",," ˈhaka kaholere"," ˈhaka yomere",,"kozeto","kete","mãrioka",,"katxibe","otoho","kaˈlana",,"kaˈxiha","zaˈlaitse","koˈlike","wenore"," ˈkaye",,"ˈtaolidi",,,,"aboala",,,," aˈxiyi",,,,,,,,"zoˈliri","alohe","wazoreke",,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Wapishana (ms95) Phono","Santos, Manuel Gomes dos . 2006. Uma gramática do Wapixana (Aruak): aspectos da fonologia, da morfologia e da sintaxe. Tese de doutorado. Campinas, SP: UNICAMP",,,,,"sɨːʐ",,,,,,,,,,,,,,,"kiɲaɽɨɖɨ",,,,,"uku",,,,,,,,,,,"wabu",,,,,,"kanɨʐ","makaʃiɽi",,,,,,,,,,,,,,"ɖiːɖaɖa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Wapishana (ms95) Ortho ","Person entering data: AP",,,,,"sɨːʐ",,,,,,,,,,,,,,,"kiɲaɽɨɖɨ",,,,,"uku",,,,,,,,,,,"wabu",,,,,,"kanɨʐ","makaʃiɽi",,,,,,,,,,,,,,"ɖiːɖaɖa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Wapishana wap IDS orthographic ",,,,,,"tree: sɨẓ kʰadɨnaa",,"kʰumaasa",,,,,,,,"kʰaiwara",,,,,,,,,,,,,,,,,,,,,,,,,,"maẓikʰi",,,,"čʰamadaru; atʰamɨn tʰain",,,,,,,,"kʰaẓɨɨ",,,,,,"kʰauwiam",,"kʰaaẓɨɨ",,"suuma",,,,,,,"generic yam: kʰiriča; čʰipʰuwii",,,,"ian; iwa",,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak ","Wapishana wap IDS phonemic",,,,,,"tree: sɨẓ kʰadɨnaa",,"kʰumaasa",,"mutu",,,,,,"kʰaiwara",,,,,,,,,,,,,,,,,,,,,,,,,,"maẓikʰi",,,,"tʃʰamadaru; atʰamɨn tʰain",,,,,,,,"kʰaẓɨɨ",,,,,,"kʰauwiam",,"kʰaaẓɨɨ",,"suuma",,,,,,,"generic yam: kʰiritʃa; tʃʰipʰuwii",,,,"ian; iwa",,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Mandawaka (hr01) Phono","Ramirez, Henri. 2001. Línguas Arawak da Amazônia setentrional: comparação e descrição. Manaus: Editora da Universidade",,,,,"dé:ɾihe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Mandawaka (hr01) Ortho","Person entering data: AP",,,,,"dé:rihe",,,,,,,,,,,,,,,,,,"mawákuli",,"kú:na",,,,,,,,,,,,,,,,,"ká:ni",,,,,,,,,,,,,,,"há:ti",,,,,,"dé:ma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Proto-Arawak",,"abinkitʰɨ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kani[tʰɨ]",,,,,,,,,,,,,,,"atʃɨdɨ",,,,"kʰalɨ[jʰɨ]",,"jɨma[de]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
"Arawak","Proto-Japurá-Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",,
