,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Yanomam","Yanomami (wca) (MM 07)(phonemic)","Mattéi-Müller, Marie-Claude 2007a. Lengua y cultura Yanomamï. Diccionario ilustrado Yanomamï-Español, Español-Yanomamï. Caracas: Epsilon Libros.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Finkers, Juan. 1986. Los Yanomami y su sistema alimenticio. Vicariato Apostolico de Puerto Ayacucho.; Ramirez, Henri. 1994. Le Parler Yanomamɨ des Xamatauteri. publisher unknown.; entered by Kelsey Neely","tʰõmɨ, tʰõmɨmoɾewə (also means thief), amotʰa","ʃihena"," iwa (general term)","wãkõja","koje (leaf-cutter)","kaʃi (fire ant), poɾe mo (warrior ant; pore = spirit, aparition; mo= penis; note: it's said the bite can cause swelling of the penis), suɾi na (worker ant)","moɾõ (Cabassous unicinctus), pɾuʃiima (Dasypus kappleri), opo (Dasypus novemcinctus), waka (priodontes maximus), maɾəa","hewə (small), waʃo (large; similar to waʃə ""wound"")","ahamɨ (bittersweet honey)(JL75), akoʃo (sweet, abundant honey)(JL75), amɨ kə hu (sweet honey)(JL75), bahaɾi (JL75), puu na (generic term), himoto (himo = flower before fruit)","hetu kəkɨ (hetu= sky, above; keki = nom. class.), hokoto kəkɨ ( ,kəkɨ is a nominal classifier specifying that things are of the same species)","jɨmɨka (general term, also means ear), fesikakɨwə, haɾahaɾa, hewakəma (lit. ""red head"" he =head), kaʃa, maja, weɾoweɾo","hõsõmɨ (mono negro), hoaʃi","seiseimɨ kona (seimɨ = class of birds)","poʃe, warə","jaɾuʃe","kiɾikiɾimɨ (kiri means fearful or is a verbal directional suffix that means from below), sikisikimɨ","haja, pɾeɾi","tʰãɾi (affectionate term), hi:ma","hi:mã (general term ""dog"")","toɾina","sapai","jahetipa","juɾi",,"kopataʃima, ɾihu:na","aɾoto, ʃoko, masihoto",,"wi:wi:mɨ","hoaɾi","iɾo (alouatta seniculus)","teʃo","iwawa sikɨ (iwa= alligator, si= nom. Class.)","ɨɾa, waʃaẽma","jao","japi",,"paɾomena (Mylossoma duriventre or aureum)","jeikaɾaɾi (H. macrophthalmus), maʃapi (H. malabaricus)","mãɾãʃi, kuɾemɨ","paʃo","siemaɾi (large), siɾamɨ (large), siemato (small)","kajoɾi","amota, amotha (both HR94)","noma","aɾa (general term ""macaw""), aɾa aʃiaʃiɾimɨ(Anodorhynchus hyacinthinus, ashiashiɾimi = yellow), kuɾikaja, aɾa",,"tʰoɾopo","awaɾe, nẽɾo","hetehia","pɾoɾo","kɾukukumɨ (general term, possibly onomatopoeia)","weɾehi (koko)","joohoamɨ (tinamus guttatus), hãʃimo (tinamus major), hoɾohoɾomɨ ( tinamus tao)","waɾə","sipaɾaɾiwə (sipara = machete, -riwe = nom. Suff. For masc. ancestral spirits)","hiwaɾa",,,"kono, koɾiuna","mɾõõ (fly general term), paɾeto (mosquito general term)","ʃɨmɨ","waɾaima akatʰo (generic term; wara= skin disease, -ima= verbal suff. Denoting from below, akatho= nom. Class. Denoting reptiles living below the ground) (IDS)","oɾu","aɾoamɨ kəkɨ (bothrops sp.)","aɾaɾemɨ","wajapaʃi (amazonian), kaɾio (guianan)","ʃama, hajakoaɾi","ã̃ɾepo (kona ʃi), oʃe mape (winged, also generic term)","totoɾi","majepɨ, majopɨ, kɾetoɾi, kɾeomaɾi","watupa","kõpina (IDS)","paɾuɾi","eʃãmɨ (camepephilus sp., dryocopus lineatus), toɾomɨ(camepephilus sp., d. lineatus), ʃuɾiɾiã̃mɨ (celeus elegans, c. grammicus), tʰəətʰəəmɨ (celeus flavus, c. torquatus)","ãiamo",,"hoaʃi","kosiɾemɨ, koɾimaɾisipə",,"uwãuwãmɨ","kumaɾawə","hõɾahesi","oko","hoja (general term)","omawə kohekɨ","ou (Rhynchoporus palmarum L.), mati (ou) (R. palmarum ?)","pɾima ãhu","huɾamahe","suhi (IDS)","waɾoɾa (IDS)","waɾiomɨ kohesi (IDS)","jãmãɾu (IDS)","toɾi","jojo","ɾakõ hikɨ",,,,,,,,,,
"Yanomam","Sanumá (xsu) (KT74)(orthographic)","Taylor, Kenneth I. 1972. Sanuma (Yanoama) food prohibitions: the multiple classification of society and fauna. Ph.D. diss. Madison: University of Wisconsin.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely ","thomɨ a, thomɨ sianana a, thomɨ gɨgɨ (general classification?)",,,,,"šio (EM72), kutšiaka (EM72) (both species unknown)","waka a, mono a, obo a, sagosɨ a, opo (EM72)","hɨwɨ bɨ (general ""bats"")","himoto (EM72)",,"kasa bɨ (food category of edible caterpillars), kasa a",,,"wale a (unspec. Peccary), pose a (unspec. Peccary)","salusi a, salusi kɨsɨkɨsɨmɨ a, salusi gɨgɨ (possible general term)",,"haza a , haza kadumɨ a, haza gɨgɨ (general classification?)","poie (EM72)",,,,,"salaga bɨ (edible fish only), tsaraka (EM72)",,"noma (EM72)","soko a (coll. Anteater), olosomɨ a (silky anteater), tebɨ a (giant anteater, tebɨ nase a (giant anteater), tebɨ bɨ (general classification?)","wisa a","kokoi","hoali a","ilo a","teso (EM72)",,"tului a, sanuna a?, ɨla (EM72)",,,,,,,"paso a (spider monkey)",,"kazu a, katsu (EM72)","amotha a","noma (EM72)","kulikatsa (EM72, blue), ala (EM72, red)",,"tholobo a, tholobo suɨsuɨmɨ a, haza tholobo a, hotawa a, kasana a, kasitoli a, minagɨpisilema a, wanabanaima a, tholobo gɨgɨ (possible general term)","pumodomɨ a, pumodomɨ tanama a",,"plolo a (unspec. Otter), hadamɨ a (unspec. Otter)",,"kulikiasa bɨ (general term ""parrots"")",,,,"hiwala a, hoobɨ a",,,,"moo (EM72 ""housefly""), ukišili (EM72)","simɨ a, saulemɨ a, simɨ gɨgɨ (possible general term)","sɨlasi bɨ (general ""lizards"")","olɨgɨgɨ (edible snakes only), olɨkɨkɨ (EM72)","aloamɨgɨgɨ",,"wazabasi a (unspecified species), wazabasi kusukusumɨ a (unspecified), wazabasi gɨgɨ (possible general term)","sama a, tsama (EM72)",,,"mazubɨ bɨ (general ""toucans""), matsupɨ (EM72)",,"kobinana bɨ (general term ""wasps"")","paluli (EM72)",,,,"waasi a",,,,,,"õko bɨ (general ""crabs""), oko (EM72)",,,,,,,,,,,"sozo bɨ (general ""toads"")",,,,,,,,,,,
"Yanomam","Sanumá (xsu) (KT74) (phonemic)","Taylor, Kenneth I. 1972. Sanuma (Yanoama) food prohibitions: the multiple classification of society and fauna. Ph.D. diss. Madison: University of Wisconsin.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely ","tʰomɨ a, tʰomɨ sianana a, tʰomɨ kɨkɨ",,,,,"ʃio (EM72), kutʃiaka (EM72) ","waka a, mono a, obo a, sagosɨ a, opo (EM72)","hɨwɨ bɨ","himoto",,"kasa bɨ (food category of edible caterpillars), kasa a",,,"wale a (unspec. Peccary), pose a (unspec. Peccary)","salusi a, salusi kɨsɨkɨsɨmɨ a, salusi kɨkɨ (possible general term)",,"haʃa a , haʃa katumɨ a, haʃa kɨkɨ (general classification?)","poie (EM72)",,,,,"salaga bɨ (edible fish only), tsalaka (EM72)",,"noma","soko a (coll. Anteater), olosomɨ a (silky anteater), tebɨ a (giant anteater, tebɨ nase a (giant anteater), tebɨ bɨ (general classification?)","wisa a","kokoi","hoali a","ilo a","teso (EM72)",,"tului a, sanuna a?, ɨla (EM72)",,,,,,,"paso a (spider monkey)",,"kaʃu a, katsu","amotʰa a","noma","kulikatsa, ala",,"tʰolobo a, tʰolobo suɨsuɨmɨ a, haʃa tʰolobo a, hotawa a, kasana a, kasitoli a, minagɨpisilema a, wanabanaima a, tʰolobo gɨgɨ (possible general term)","pumodomɨ a, pumodomɨ tanama a",,"plolo a (unspec. Otter), hadamɨ a (unspec. Otter)",,"kulikiasa bɨ (general term ""parrots"")",,,,"hiwala a, ho:bɨ a",,,,"moo, ukiʃili","simɨ a, saulemɨ a, simɨ gɨgɨ (possible general term)","sɨlasi bɨ (general ""lizards"")","olɨgɨgɨ (edible snakes only), olɨkɨkɨ (EM72)","aloamɨgɨgɨ",,"waʃabasi a (unspecified species), waʃabasi kusukusumɨ a (unspecified), waʃabasi gɨgɨ (possible general term)","sama a, tsama (EM72)",,,"maʃubbɨ bɨ (general ""toucans""), matsupɨ (EM72)",,"kobinana bɨ (general term ""wasps"")","paluli (EM72)",,,,"wa:si a",,,,,,"õko bɨ (general ""crabs""), oko (EM72)",,,,,,,,,,,"soʃo bɨ",,,,,,,,,,,
"Carib","Akawaio ake Orthographic","Edwards 1980 MAR","aguu",,"agaree (E1977)","aura","kiiawok","kanggaruumö","mauraiö (giant); kaikang (giant)","marbak","teuzang","amang",,"iiwarga (monkey) (E1977)","kiidada","pagiira (peccary)",,"kiiriicharak","giant savannah deer (as opposed to bush deer): waigiiniimö","peeroo (general), ookpoogong (hunting dog)",,,"maikuuak","kariimuura","moorok","kuuruuba zakkwa","chiikpong","kokchiiriimö","iiwarga (monkey) (E1977)","ariiya","iiwarwanna","arauda","tuuguuik (E1977)","wayamaga","tiimening","kaiguuzhii",,"wara (large catfish); reekkö (small catfish)",,,,"iiwarga (monkey) (E1977)","sagaikka","paruuweena",,"ayang","wayara","uuruuktuuruu (E1977)","sargau","awaree","mabaruuwa (Lutra macrodus)","mabaruuwa (Lutra macrodus)","töpoik (general), kuuk-kuuk (great horned)","kawak",,"pagiira (peccary)",,"aruu","parandarai","muumbö (rat)","onoree (Ardea cocoi)",,"kwarang","waimeksa (lizard)","ögöi","sagazak (rattlesnake)","wara (large catfish); reekkö (small catfish)","karii","maibuurii","kuungwaik","wayamorii, peeiduura (turtle)","kiiyabok","angwana (E1977)","tabiiyuuga (E1977)",,"sabeereedek, kaiparak",,,"iiwarga (monkey) (E1977)",,"maing (worm)","wagau","ögöibasee","koorooii","makkwai","weeruujii","piiriimok","piiriimok (E1977)",,"seebee","mariidö","kuuiiwa","arai",,"kobarii","ambak (frog), chiinau (toad)",,,,,,,,,,,
"Carib","Akawaio ake Phonemic","Edwards 1980 MAR","agu",,"agare (E1977)","aʊra","kiawɔk","kaŋgarumö","maʊraɪö, kaɪkaŋ","marbak","tɛʊzaŋ","amaŋ",,"iwarga (E1977)","kidada","pagira",,"kiritʃarak"," waɪginimö","pero, okpogɔŋ ",,,"maɪkuak","karimura","morɔk","kuruba zaʔwa","tʃiʔpoŋ","kɔʔtʃirimö","iwarga (E1977)","ariya","iwarwanna","araʊda","tuguɪk (E1977)","wayamaga","timɛnɪŋ","kaiguʒi",,"wara; rekkö",,,,"iwarga (E1977)","sagaɪʔka","paruwena",,"ayaŋ","wayara","uruʔturu (E1977)","sargaʊ","aware","mabaruwa","mabaruwa","töpɔɪk,  kuk-kuk","kawak",,"pagira",,"aru","parandaraɪ","mumbö","ɔnɔre",,"kwaraŋ","waɪmɛksa","ögöɪ","sagazak","wara; rekkö","kari","maɪburi","kuŋwaɪk","wayamɔri, peɪdura","kiyabɔk","aŋwana (E1977)","tabiyuga (E1977)",,"saberedɛk, kaɪparak",,,"iwarga (E1977)",,"maɪŋ","wagaʊ","ögöɪbase","koroi","maʔkwaɪ","werudʒi","pirimɔk","pirimɔk (E1977)",,"sebe","maridö","kuiwa","araɪ",,"kɔbari","ambak, tʃinaʊ",,,,,,,,,,,
"Carib","Carijona cbd Phonemic","Durbin and Seijas, 1973, MAR",,,,,,,,,,,,,,"koto (generic term)",,,,"kaykuči (also jaguar)",,,,,,,,,,,,"alawata",,,"kaykuči (also dog)",,,,,,,,,,,,,,,,,,,"kinoro'",,,,,,,,,,,,,,,"mačihuri",,,,,,"iko'imo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","pbh Eñepa
 IDS orthographic","Mattei-Muller 1994, MAR","akuñ (MM)",,"onwe (MM)","wi; uñemakërën (MM)","eñarurukun (MM)","anətə (generic ant)","kajkam (MM)","ɲinke","akamo",,"pe'ya' (MM)","amsïrï, Var. amïsïrï, mësërë (MM)","wom (MM)",,"marichana (MM)","kïrïsa, Var. krïa, kërësa (MM)","wɨiki","kərənəpən",,"ariñu'na, Var. muuna","mičiči","kariña (MM)","kariɲa, (MM) kana",,"səhpən","ancha (palmero), Var. añcha; weinki'  (melero) (MM)","kuhkuk (generic monkey)","yɨmuk (= vulture)","takara (smaller species- kujku'chame) Var. kukuchëme, awantu (MM)","kuhkuk (generic monkey)","tyukui' (MM)","yawana (MM)","akërë, akërë tameñkemënë, Var. kërë (MM)","akërë pinchañemënë (MM)","anamae, Var. anëmae, nanamae, kanamae (MM)","kejko, taponseñ (MM)","anoo, chimiri, këërë (MM) ","wayu' (MM)","poi' kai'në' (MM)","punkoto (MM)","kasakañ, Var. masakai (MM)","chiwiiri, Var. chori, matachori (MM)","ayamë (MM)","sɨhpən, ayamë (MM)","ara, kamaya (MM)",,"tɨnka","awanke","saruna (MM)","sanko (MM)","mɨrɨkɨ, sowe, karaupunukëtë (MM)","ara, naro, Var. noro, marakana (especie pequeña) (MM)","kuru (red-faced) warameñ (MM)","kuchiiña (MM)","piñë (MM)","ijka, Var. wijka, wi'ka (MM)",,"tïnka toseñmënë' (lit. rata grande), akuin kai'në (especie de rata, lit. parecido al picure) (MM)","tamu'ñemënë' (MM)","wɨnkə, sï'sï, Var. sïksïk (MM)","waram (MM)","onkomin, saranapoi'në' (generic lizard), Var. sanara (MM)","ake, Var. ajke (MM)","ake mankowae (MM)",,"karin, (mas grande) kasamaeka (MM)","warae, Var. wara (MM)","monokoin (MM)","yaʔra(turtle), arakaya (aquatic), Var. arkaya, paara (MM)","chipuko Var. chëpoko; (grande) chipukoñe, (pequeno) chipuko ankiima (MM)","yɨmuk (hawk), yïmu, Var. yïmuk (MM)","akamo; a'kamo (MM)",,"awako, ejporo (campephilus) (MM) ","sanko (MM)",,,"owi' (MM)","winičI; Var. kunichi', kanochi' konochi' (MM)","kočapin; Var. kojchapin, kochipipin (MM)","tyimeipe; chiriri, timeepe, Var. chimeepe (MM)","kɨrɨsa; takanapai'këmënë' (MM)","onwa' (inedible), ki'kë Var. ke'kë, achïm, Var. apëchïm (edible) (MM)","ku'mukui, Var. ku'mëkoë (marro'n), apaijkua (turca), tuwu' especie pequeno) (MM)","sonkoko (MM)","nkeñ (larva) (MM)","ompëkë, yompi (MM)",,"kayooka","waʔka","ankaya","pankeik; panke' (MM)","eñkasa, Var. añkësa (black); inkichi'ri, Var. unkiche're, kecheere (red) (MM)","kɨɨwo (frog)",,,,,,,,,,,
"Carib","pbh Eñepa IDS phonemic","Mattei-Muller 1994, MAR","akuɲ  (MM)",,"onwe (MM)","wi; uɲemakërën (MM)","eɲarurukun (MM)","anətə (generic ant)","kajkam (MM)","ɲinke","akamo",,"peʔjaʔ (MM)","amsïrï, Var. amïsïrï, mësërë (MM)","wom (MM)",,"maritʃana (MM)","kïrïsa, Var. krïa, kërësa (MM)","wɨiki","kərənəpən",,"ariɲuʔna, Var. muuna","mitʃitʃi","kariɲa (MM)","kariɲa, (MM) kana",,"səhpən","ancha (palmero), Var. aɲcha; weinkiʔ (melero) (MM)","kuhkuk (generic monkey)","jɨmuk (= vulture)","takara (smaller species- kujkuʔchame) Var. kukuchëme, awantu (MM)","kuhkuk (generic monkey)","tjukuiʔ (MM)","jawana (MM)","akërë, akërë tameɲkemënë, Var. kërë (MM)","akërë pintʃaɲemënë (MM)","anamae, Var. anëmae, nanamae, kanamae (MM)","kehko, taponseɲ (MM)","anoo, tʃimiri, këërë (MM) ","wajuʔ (MM)","poiʔ kaiʔnëʔ (MM)","punkoto (MM)","kasakaɲ, Var. masakai (MM)","tʃiwiiri, Var. tʃori, matatʃori (MM)","ajamë (MM)","sɨhpən, ajamë (MM)","ara, kamaja (MM)",,"tɨnka","awanke","saruna (MM)","sanko (MM)","mɨrɨkɨ, sowe, karaupunukëtë (MM)","ara, naro, Var. noro, marakana (especie pequeña) (MM)","kuru (red-faced) warameɲ (MM)","kutʃiiɲa (MM)","piɲë (MM)","ihka, Var. wihka, wiʔka (MM)",,"tïnka toseɲmënëʔ (lit. rata grande), akuin kaiʔnë (especie de rata, lit. parecido al picure) (MM)","tamuʔɲemënëʔ (MM)","wɨnkə, sï'sï, Var. sïksïk (MM)","waram (MM)","onkomin, saranapoiʔnëʔ (generic lizard), Var. sanara (MM)","ake, Var. ahke (MM)","ake mankowae (MM)",,"karin, (mas grande) kasamaeka (MM)","warae, Var. wara (MM)","monokoin (MM)","jaʔra(turtle), arakaja (aquatic), Var. arkaja, paara (MM)","tʃipuko Var. tʃëpoko; (grande) tʃipukoɲe, (pequeno) tʃipuko ankiima (MM)","yɨmuk (hawk), jïmu, Var. jïmuk (MM)","akamo; aʔkamo (MM)",,"awako (MM)","sanko (MM)",,,"owiʔ (MM)","winičI; Var. kunitʃiʔ, kanotʃiʔ konotʃiʔ (MM)","kočapin; Var. kohtʃapin, kotʃipipin (MM)","tyimeipe; tʃiriri, timeepe, Var. tʃimeepe (MM)","kɨrɨsa; takanapaiʔkëmënë' (MM)","onwaʔ (inedible), kiʔkë Var. keʔkë, atʃïm, Var. apëtʃïm (edible) (MM)","kuʔmukui, Var. kuʔmëkoë (marro'n), apaihkua (turca), tuwuʔ especie pequeno) (MM)","sonkoko (MM)","nkeɲ (larva) (MM)","ompëkë, jompi (MM)",,"kajooka","waʔka","ankaja","pankeik; pankeʔ (MM)","eɲkasa, Var. aɲkësa (black); inkitʃiʔri, Var. unkitʃeʔre, ketʃeere (red) (MM)","kɨɨwo (frog)",,,,,,,,,,,
"Carib","Makiritari (MCH) IDS, (Katherine Hall 1988?) Orthography",,"aha:dadi (KH)",,,,"ya:kö (KH) (means 'large ant')",,"kahaw (KH); ötü:kö (KH) (means 'small armadillo')","adu:du (small flying animal, like a bat) (KH)","wannə (IDS); wannö (KH)","monse (KH)",,,"kata:tadu (KH)",,,"shidishidi (KH)","kawādi (IDS); kawa:di (KH)","sɨ̄ʔna (IDS); sü:'na (KH) (also means 'wolf')",,,"[hātu] (IDS) (From Spanish 'pato'); ha:tu (KH)",,"nākukwāno (IDS) ( Refers to fish in the water; lit. 'people who live in the river'. Fish caught and out of the river is oʔtāho); na:kukwa:no (KH)",,,"hömu:kö (KH)","yadākadu (IDS) (Means 'monkey'), yada:kadu (KH) (means 'monkey')","hiyāna (IDS); hiya:na (KH)","nākukwāno (IDS)","adawa'ta (KH) (means 'araguato monkey)","tu'kui (KH)","yama:nadi (KH)","ma:do/mado (KH)","ahö'wa (KH) (means 'ocelot'); me:shi (KH) (means 'cat')",,"kudi:di (KH) (means 'catfish')",,,,,,"yüwü:dü (KH)",,"dāmə (IDS); da:mö (KH)",,,"asɨ̄kɨ (IDS); asü:kü (KH)","dawāde (IDS); dawa:de (KH)","ña:ñudi (KH)",,,"[dodo] (IDS) (Probably from Spanish 'loro'. Other kinds of parrots are kayʔčay; kudēwa); dodo (KH) kai'chai (KH), kadu:wai (KH) (means 'macaw, large parrot')",,"du'kadi (KH)","ka:'shai (KH)","kidi'shu (KH)",,,,,"wade'da'ta (KH)","asü:kü (KH)","əkə̄yu (IDS) (Also tadādwēmə); ökö:yu (KH)","künno'to (KH) (means 'poisonous snake')","kudi:di (KH) (means 'catfish')","kadi:yu (KH)","wa'shadi (KH)",,"heʔde (IDS) (Means 'turtle'); he'de (KH)","ka:'shai, shahoko (KH)","kudūmu (IDS) (Refers to 'black vulture'); kada:kada:di (KH) (means 'king volture' - Sarcoramphus papa)","sūnwa (IDS)",,"wana:di (KH)",,,,,"motto (IDS) (Means 'worm') ('earthworm [KH]); mutu (KH) (means 'worm, maggot')","matūtu (IDS); matu:tu (KH)",,,"sada:kani (KH) (also means 'crayfish')","hadūma (IDS); hadu:ma (KH)",,,,,"mɨnə̄tə (IDS); münö:tö (KH)","memu (IDS, KH)","modoy (IDS) (Refers to a spider that doesn't bite); yadakadu:hwai (KH) (means spider that bites')",,,"kawaw, tudu:du (KH)",,,,,,,,,,,
"Carib","Makiritari (MCH) IPA",,"aha:dadi (KH)",,,,"ja:kə (KH)",,"kahaw (KH); ətɨ:kə (KH)","adu:du (KH)","wannə","monse (KH)",,,"kata:tadu (KH)",,,"ʃidiʃidi"," kawa:di","sɨ:ʔna",,,"ha:tu",,"na:kukwa:no",,,"həmu:kə","jada:kadu","hija:na","na:kukwa:no","adawaʔta","tuʔkui","jama:nadi","ma:do/mado (KH)","ahəʔwa (KH), me:ʃi (KH)",,"kudi:di",,,,,,"jɨwɨ:dɨ",,"da:mə",,,"asɨ:kɨ","dawa:de","ɲa:ɲudi",,,"dodo, kaiʔtʃai (KH), kadu:wai (KH)",,"duʔkadi","ka:ʔʃai","kidiʔʃu",,,,,"wadeʔdaʔta","asɨ:kɨ","əkə:ju","kɨnnoʔto","kudi:di","kadi:ju","waʔʃadi",,"heʔde","ka:ʔʃai, ʃahoko","kudu:mu (IDS); kada:kada:di (KH)","su:nwa",,"wana:di",,,,,"moto (IDS); mutu (KH) ","matu:tu",,,"sada:kani","hadu:ma",,,,,"mɨnə:tə","memu","modoj (IDS); jadakadu:hwai (KH)",,,"kawaw, tudu:du (KH)",,,,,,,,,,,
"Carib","Makushi (mbc) orthographic","Carson, Neusa 1979. Key 1997. Melody A Ross",,,"akaré",,"ayúú (generic ant)","ayúú (generic ant)",,,"wáŋ",,,"iwáriká (generic monkey)",,,,,"wáíkín","areimaraaká",,,"maiwá","aríŋrá","moróʔ",,"sikɨ́",,"iwáriká (generic monkey)",,,"iwáriká (generic monkey)","tukúí",,,,,,,"kurúútú","maaká","iwáriká (generic monkey)",,,,,"kararúá",,,,,,,"woroké",,,,"árú",,,,,,,"ikɨ́í",,,,"wairá",,,,,,,,,,,,"moʔ (generic worm)","péppé",,,,"áyà",,,,,,,,,,"kúí (small frog)",,,,,,,,,,,
"Carib","Makushi (mbc) phonemic","Carson, Neusa 1979. Key 1997. Melody A Ross",,,"akaré",,"ayúú (generic ant)","ayúú (generic ant)",,,"wáŋ",,,"iwáriká (generic monkey)",,,,,"wáíkín","areimaraaká",,,"maiwá","aríŋrá","moróʔ",,"sikɨ́",,"iwáriká (generic monkey)",,,"iwáriká (generic monkey)","tukúí",,,,,,,"kurúútú","maaká","iwáriká (generic monkey)",,,,,"kararúá",,,,,,,"woroké",,,,"árú",,,,,,,"ikɨ́í",,,,"wairá",,,,,,,,,,,,"moʔ (generic worm)","péppé",,,,"áyà",,,,,,,,,,"kúí (small frog)",,,,,,,,,,,
"Carib","Pemon (AOC) Orthography (All entries from CA1981)","Armellada, Cesáreo 1981. Karina Baeza; Edwards 1980. Melody A Ross. Edwards 1977. Melody A Ross","akuurii (E1980)",,"akaree (E1977)","aura (E1980)","kaiwak; kiiawok (E1980)","irak; kangkaruuma (E1980)","mauraiö (giant); kaikang (giant) (E1980)","maripak; marpak (E1980)","wan; töuusang (E1980)","wi; amang (E1980)",,"ri-ku-tun","kata (especie de cigarra), anarva (especie de cigarra: quesada gygas); ariiktö (E1980)","pakiira (peccary) (E1980)",,"kricha; kiiriikcha (E1980)","waikin (odocoileus gymnotis: venado sabanero), kariauki (virginianus cariacu: venado montañero); giant savannah deer (as opposed to bush deer): waikiiniimö (E1980)","pero, arimaraka","pero, arimaraka",,"maiwak; maikwak (E1980)","kariimuura (E1980)","morok","kuuruupasaukka","chipuen","kochirima; kochiiriimö (E1980)",,"seneik (especie de galvilán); ariiyak (E1980)","iiwarwana","arauta (E1980)","tukui, wada-wada (especie de colíbri o tucusito, de tamaño grande); tuukuuik (E1977)","wayamaka (E1980)","tɨmenneng (E1980)",,"namai","wara (large catfish); eerekkö (small catfish) (E1980)",,,"wora, wokira","iiwarka (generic monkey) (E1977)","sakaikka","paruuweena (E1980)",,"adan; ayang (E1980)","wayara (E1980)","uuruuktuuruu (E1977)","mumpue; sarkang (E1980)","avare; awaree (E1980)","aparuuwa (Lutra macrodus) (E1980)","aparuuwa (Lutra macrodus) (E1980)","wona; töpoik (general), kuuk-kuuk (great horned) (E1980)","kavak; kawak (E1980)","supara, karivina, karataka (all of these mean 'gallina')","pakiira (peccary) (E1980)",,"aruu (E1980)","parantarai (E1980)","mungpö (rat) (E1980)","savivi (especie de garza); onoree (Ardea cocoi) (E1980)",,"nupi (bradypus tridactylus), kuaran (choloepus didactylos); kwarang (E1980)","waimesa (cnemidophorus leminiscatus)","okoi; ököi (E1980)","sakasak (rattlesnake) (E1980)","wara (large catfish); eerekkö (small catfish) (E1980)","kari-kari; karii (E1980)","waira, maikuri (both are ""tapirus terrestris"")","chirima, chiripra (both mean: especie de comején comestible); kuungwaik (E1980)","wadamori; wayamorii, peeituura (turtle) (E1980)","kiarue, wa (especie de tucán muy pequeño), kiiapok (E1980)","angwana (E1977)","kankepan, tempi (both are 'especie de avispas'); tapiiyuuka (E1977)",,"sapeereetek (E1980)",,,"iiwarka (generic monkey) (E1977)",,"moto, sapaiprau (lombriz de tierra muy grande), patiri (lombriz muy grande)","wakau","manairak (scolopendra mursitans), okoi-pase (both mean centipede); ököipasee (E1980)","masarva (cucaracha pequeña); kororii (E1980)","makwai (E1980)","mada; weeruuchii (E1980)","piiriimol (E1980)","piiriimok (E1977)","mateu (coleóptero nocturno con los ojos muy brillantes que suele venir al fuego, donde se precipita)","sape","marite; mariitö (E1980)","koime; kuuiwa (E1980)","arai",,"karimatex (ixodes); koparii, kariikmatok (E1980)","pereteku; ampak (frog), chiinau (toad) (E1980)",,,,,,,,,,,
